	dataset	davies-bouldin	dunn	method	params	setting_id	silhouette
134	synth_yeast_macisaac	2.2638263944163173	0.16802764705724685	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'average'}	synth_yeast_macisaac_9	0.022284327607361282
135	synth_yeast_macisaac	2.6641904700501233	0.1891833009699613	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'complete'}	synth_yeast_macisaac_10	0.01907090528068066
136	synth_yeast_macisaac	1.9948063198394341	0.16802764705724685	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'average'}	synth_yeast_macisaac_11	0.028835255145938227
137	human_tcga	4.128160476859514	0.11985680311989359	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'complete'}	human_tcga_0	-0.01640976653735192
138	human_tcga	2.7982502963759366	0.12937071475755602	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'average'}	human_tcga_1	-0.07423149856934907
139	human_tcga	4.064377872385362	0.12110488000094448	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'complete'}	human_tcga_2	-0.02175787133921471
140	human_tcga	2.4915327946508836	0.129370714757556	agglom	{u'simdist_function': u'pearson_correlation', u'k': 3, u'method': u'agglom', u'linkage': u'average'}	human_tcga_3	-0.07948194797249084
141	human_tcga	3.9795276752324518	0.12110488000094448	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'complete'}	human_tcga_4	-0.022755868084154446
142	human_tcga	2.3740035906362693	0.129370714757556	agglom	{u'simdist_function': u'pearson_correlation', u'k': 4, u'method': u'agglom', u'linkage': u'average'}	human_tcga_5	-0.07365914854404142
143	human_tcga	3.829664322528385	0.12110488000094448	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'complete'}	human_tcga_6	-0.028864969389314533
144	human_tcga	2.40525841807372	0.129370714757556	agglom	{u'simdist_function': u'pearson_correlation', u'k': 5, u'method': u'agglom', u'linkage': u'average'}	human_tcga_7	-0.061181667812048424
145	human_tcga	3.768331969390272	0.13248594075907077	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'complete'}	human_tcga_8	-0.030653284243316457
146	human_tcga	2.2864276873603324	0.129370714757556	agglom	{u'simdist_function': u'pearson_correlation', u'k': 6, u'method': u'agglom', u'linkage': u'average'}	human_tcga_9	-0.06243218705584804
147	human_tcga	3.5961082367090422	0.13248594075907077	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'complete'}	human_tcga_10	-0.029802094524488194
148	human_tcga	2.222160660640715	0.129370714757556	agglom	{u'simdist_function': u'pearson_correlation', u'k': 7, u'method': u'agglom', u'linkage': u'average'}	human_tcga_11	-0.06461699908159924
149	human_gtex	4.0433266209530245	0.026808941714431784	agglom	{u'simdist_function': u'pearson_correlation', u'k': 2, u'method': u'agglom', u'linkage': u'complete'}	human_gtex_0	-0.02662447903858588
