	Unnamed: 0	dataset	davies-bouldin	dunn	method	params	setting_id	silhouette
111	111	yeast_gpl2529	2.245275407143454	0.05318478078932664	agglom	{u'simdist_function': u'pearson_correlation', u'k': 300.0, u'method': u'agglom', u'linkage': u'average'}	yeast_gpl2529_23	-0.3030399640969709
112	112	yeast_dream5	4.697929222732691	0.035644701260151165	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_0	-0.14106745545579455
113	113	yeast_dream5	3.3116106500899054	0.045924689814355234	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_1	-0.21144390823157674
114	114	yeast_dream5	4.674254238201604	0.04087674559669681	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_2	-0.15791688960232614
115	115	yeast_dream5	3.2019477843667596	0.045924689814355234	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_3	-0.2994473550285578
116	116	yeast_dream5	4.3530289638600985	0.04087674559669681	agglom	{u'simdist_function': u'pearson_correlation', u'k': 75.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_4	-0.17589888861662295
117	117	yeast_dream5	3.0920941664212322	0.045924689814355234	agglom	{u'simdist_function': u'pearson_correlation', u'k': 75.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_5	-0.3430084063365691
118	118	yeast_dream5	4.436937254679519	0.0425135003181157	agglom	{u'simdist_function': u'pearson_correlation', u'k': 100.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_6	-0.1891045958898276
119	119	yeast_dream5	3.1678807038842534	0.05023838089888099	agglom	{u'simdist_function': u'pearson_correlation', u'k': 100.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_7	-0.3438421380492587
120	120	yeast_dream5	4.2584961069828715	0.0425135003181157	agglom	{u'simdist_function': u'pearson_correlation', u'k': 125.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_8	-0.19690322998558515
121	121	yeast_dream5	3.080980740462868	0.05074733799430276	agglom	{u'simdist_function': u'pearson_correlation', u'k': 125.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_9	-0.3291505116011045
122	122	yeast_dream5	4.090600772891973	0.0425135003181157	agglom	{u'simdist_function': u'pearson_correlation', u'k': 150.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_10	-0.2170963379167272
123	123	yeast_dream5	3.0539893851521938	0.05074733799430276	agglom	{u'simdist_function': u'pearson_correlation', u'k': 150.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_11	-0.3430284325170163
124	124	yeast_dream5	3.9790182544403194	0.0425135003181157	agglom	{u'simdist_function': u'pearson_correlation', u'k': 175.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_12	-0.22808497524683904
125	125	yeast_dream5	3.043312134587969	0.05082187952029927	agglom	{u'simdist_function': u'pearson_correlation', u'k': 175.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_13	-0.3432613602697068
126	126	yeast_dream5	3.8534055449673184	0.0425135003181157	agglom	{u'simdist_function': u'pearson_correlation', u'k': 200.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_14	-0.2306469766934347
127	127	yeast_dream5	2.9392029926139562	0.05082187952029927	agglom	{u'simdist_function': u'pearson_correlation', u'k': 200.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_15	-0.3412762158702253
128	128	yeast_dream5	3.7976805338653863	0.043477929659108606	agglom	{u'simdist_function': u'pearson_correlation', u'k': 225.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_16	-0.23246874131096065
129	129	yeast_dream5	2.950024684380117	0.05082187952029927	agglom	{u'simdist_function': u'pearson_correlation', u'k': 225.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_17	-0.3517076917364399
130	130	yeast_dream5	3.661735550262089	0.043477929659108606	agglom	{u'simdist_function': u'pearson_correlation', u'k': 250.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_18	-0.23045357817578616
131	131	yeast_dream5	2.8862696480093275	0.05082187952029927	agglom	{u'simdist_function': u'pearson_correlation', u'k': 250.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_19	-0.3488954345851474
132	132	yeast_dream5	3.633761574205332	0.043477929659108606	agglom	{u'simdist_function': u'pearson_correlation', u'k': 275.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_20	-0.2381636327891121
133	133	yeast_dream5	2.846753957313757	0.05082187952029927	agglom	{u'simdist_function': u'pearson_correlation', u'k': 275.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_21	-0.3470322283760637
134	134	yeast_dream5	3.615489960294037	0.043477929659108606	agglom	{u'simdist_function': u'pearson_correlation', u'k': 300.0, u'method': u'agglom', u'linkage': u'complete'}	yeast_dream5_22	-0.24183217821327996
135	135	yeast_dream5	2.8068521366209027	0.05082187952029927	agglom	{u'simdist_function': u'pearson_correlation', u'k': 300.0, u'method': u'agglom', u'linkage': u'average'}	yeast_dream5_23	-0.34436140528449605
136	136	synth_ecoli_regulondb	5.65368531893696	0.2280063918316297	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'complete'}	synth_ecoli_regulondb_0	-0.0510277857332201
137	137	synth_ecoli_regulondb	4.695937460512007	0.22634021757757025	agglom	{u'simdist_function': u'pearson_correlation', u'k': 25.0, u'method': u'agglom', u'linkage': u'average'}	synth_ecoli_regulondb_1	-0.0105064182062657
138	138	synth_ecoli_regulondb	4.437574057457733	0.23865830842612595	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'complete'}	synth_ecoli_regulondb_2	-0.032847510684456085
139	139	synth_ecoli_regulondb	3.7448980780911016	0.2263960616483471	agglom	{u'simdist_function': u'pearson_correlation', u'k': 50.0, u'method': u'agglom', u'linkage': u'average'}	synth_ecoli_regulondb_3	-0.01893272883779899
140	140	synth_ecoli_regulondb	3.7498486720259887	0.23865830842612595	agglom	{u'simdist_function': u'pearson_correlation', u'k': 75.0, u'method': u'agglom', u'linkage': u'complete'}	synth_ecoli_regulondb_4	-0.01513380138424186
